기준일,시장,종목명,종목코드,기준가,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어
2026-03-27,KOSDAQ,케이엠더블유,032500,28900,52.7,91.3,132.1,254.6,179.4
2026-03-27,KOSDAQ,프로티나,468530,79500,1.0,1.1,354.3,0.0,177.9
2026-03-27,KOSPI,삼성전자,005930,174500,8.7,73.6,150.4,220.2,176.4
2026-03-27,KOSPI,미래에셋생명,085620,17150,82.1,84.2,141.9,263.3,174.6
2026-03-27,KOSPI,현대오토에버,307950,385000,-16.6,90.6,119.2,192.3,173.9
2026-03-27,KOSPI,삼성전기,009150,424000,52.0,68.9,164.2,214.1,169.6
2026-03-27,KOSPI,현대차,005380,479500,-4.1,83.4,118.0,148.4,156.2
2026-03-27,KOSPI,키움증권,039490,426500,-3.8,56.2,107.5,273.5,154.2
2026-03-27,KOSDAQ,선익시스템,171090,89000,45.0,90.6,141.5,96.5,153.5
2026-03-27,KOSDAQ,클로봇,466100,48900,-34.0,20.7,155.5,228.0,146.7
2026-03-27,KOSDAQ,디앤디파마텍,347850,77200,-18.3,-18.6,96.0,539.4,144.7
2026-03-27,KOSDAQ,유진테크,084370,115900,4.4,45.2,141.7,176.0,141.4
2026-03-27,KOSPI,삼성전자우,005935,121600,3.6,62.1,114.8,172.0,140.8
2026-03-27,KOSDAQ,티씨케이,064760,230000,-3.4,59.2,110.0,186.8,140.4
2026-03-27,KOSDAQ,엘앤씨바이오,290650,72800,-21.0,25.5,134.5,236.3,139.1
2026-03-27,KOSPI,이수스페셜티케미컬,457190,96500,-9.3,85.6,116.1,50.8,138.5
2026-03-27,KOSDAQ,보로노이,310210,320000,42.9,35.9,159.1,186.5,137.0
2026-03-27,KOSDAQ,쏠리드,050890,14040,65.2,87.0,120.8,98.6,136.6
2026-03-27,KOSDAQ,하림지주,003380,14670,1.7,74.9,75.9,188.2,135.1
